iShares Core S&P 500 ETF
Fund Holdings as of,"Apr 06, 2023"
Inception Date,"May 15, 2000"
Shares Outstanding,"743,100,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"AAPL","APPLE INC","Information Technology","Equity","21,749,937,094.76","7.12","21,749,937,094.76","132,089,986.00","164.66","United States","NASDAQ","USD","1.00","USD","-"
"MSFT","MICROSOFT CORP","Information Technology","Equity","19,278,123,897.60","6.31","19,278,123,897.60","66,111,536.00","291.60","United States","NASDAQ","USD","1.00","USD","-"
"AMZN","AMAZON COM INC","Consumer Discretionary","Equity","8,080,993,839.24","2.64","8,080,993,839.24","79,178,854.00","102.06","United States","NASDAQ","USD","1.00","USD","-"
"NVDA","NVIDIA CORP","Information Technology","Equity","5,907,122,437.67","1.93","5,907,122,437.67","21,848,291.00","270.37","United States","NASDAQ","USD","1.00","USD","-"
"GOOGL","ALPHABET INC CLASS A","Communication","Equity","5,735,168,525.58","1.88","5,735,168,525.58","52,897,699.00","108.42","United States","NASDAQ","USD","1.00","USD","-"
"GOOG","ALPHABET INC CLASS C","Communication","Equity","5,021,783,672.40","1.64","5,021,783,672.40","46,113,716.00","108.90","United States","NASDAQ","USD","1.00","USD","-"
"BRKB","BERKSHIRE HATHAWAY INC CLASS B","Financials","Equity","5,000,730,018.24","1.64","5,000,730,018.24","16,001,824.00","312.51","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TSLA","TESLA INC","Consumer Discretionary","Equity","4,420,428,287.60","1.45","4,420,428,287.60","23,886,460.00","185.06","United States","NASDAQ","USD","1.00","USD","-"
"META","META PLATFORMS INC CLASS A","Communication","Equity","4,271,850,537.40","1.40","4,271,850,537.40","19,767,934.00","216.10","United States","NASDAQ","USD","1.00","USD","-"
"UNH","UNITEDHEALTH GROUP INC","Health Care","Equity","4,255,472,248.21","1.39","4,255,472,248.21","8,298,341.00","512.81","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"XOM","EXXON MOBIL CORP","Energy","Equity","4,207,801,768.95","1.38","4,207,801,768.95","36,573,679.00","115.05","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JNJ","JOHNSON & JOHNSON","Health Care","Equity","3,834,837,664.65","1.25","3,834,837,664.65","23,220,331.00","165.15","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"JPM","JPMORGAN CHASE & CO","Financials","Equity","3,320,720,842.53","1.09","3,320,720,842.53","26,050,999.00","127.47","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"V","VISA INC CLASS A","Financials","Equity","3,261,466,436.94","1.07","3,261,466,436.94","14,431,906.00","225.99","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PG","PROCTER & GAMBLE","Consumer Staples","Equity","3,189,394,268.82","1.04","3,189,394,268.82","20,952,531.00","152.22","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MA","MASTERCARD INC CLASS A","Financials","Equity","2,708,645,442.99","0.89","2,708,645,442.99","7,493,417.00","361.47","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"CVX","CHEVRON CORP","Energy","Equity","2,648,801,766.45","0.87","2,648,801,766.45","15,799,593.00","167.65","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"HD","HOME DEPOT INC","Consumer Discretionary","Equity","2,612,439,420.78","0.85","2,612,439,420.78","9,051,798.00","288.61","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"LLY","ELI LILLY","Health Care","Equity","2,579,614,383.58","0.84","2,579,614,383.58","7,004,302.00","368.29","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"ABBV","ABBVIE INC","Health Care","Equity","2,537,404,137.90","0.83","2,537,404,137.90","15,706,618.00","161.55","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"MRK","MERCK & CO INC","Health Care","Equity","2,529,436,043.99","0.83","2,529,436,043.99","22,517,903.00","112.33","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"AVGO","BROADCOM INC","Information Technology","Equity","2,310,871,699.76","0.76","2,310,871,699.76","3,711,409.00","622.64","United States","NASDAQ","USD","1.00","USD","-"
"PEP","PEPSICO INC","Consumer Staples","Equity","2,255,084,883.04","0.74","2,255,084,883.04","12,231,964.00","184.36","United States","NASDAQ","USD","1.00","USD","-"
"KO","COCA-COLA","Consumer Staples","Equity","2,172,191,725.32","0.71","2,172,191,725.32","34,567,023.00","62.84","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"PFE","PFIZER INC","Health Care","Equity","2,068,949,092.50","0.68","2,068,949,092.50","49,854,195.00","41.50","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"TMO","THERMO FISHER SCIENTIFIC INC","Health Care","Equity","2,004,096,517.75","0.66","2,004,096,517.75","3,483,265.00","575.35","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
"COST","COSTCO WHOLESALE CORP","Consumer Staples","Equity","1,915,218,021.20","0.63","1,915,218,021.20","3,940,940.00","485.98","United States","NASDAQ","USD","1.00","USD","-"
"WMT","WALMART INC","Consumer Staples","Equity","1,878,176,903.20","0.61","1,878,176,903.20","12,454,754.00","150.80","United States","New York Stock Exchange Inc.","USD","1.00","USD","-"
